BODY Dose (GY),BODY Value (% of 15714.900 cc),Cord Dose (GY),Cord Value (% of 32.133 cc),Larynx Dose (GY),Larynx Value (% of 29.498 cc),Lparotid Dose (GY),Lparotid Value (% of 23.200 cc),PTV70 Dose (GY),PTV70 Value (% of 72.976 cc),Rparotid Dose (GY),Rparotid Value (% of 20.409 cc),
0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,
0.100000,5.367706,0.100000,9.510736,0.100000,0.994957,0.100000,0.000000,0.100000,93.117925,0.100000,68.451303,
0.300000,4.293120,0.300000,1.502515,0.300000,0.002425,0.300000,0.000000,0.300000,88.781221,0.300000,57.012184,
0.500000,3.285053,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,86.071189,0.500000,50.958517,
0.700000,2.031973,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,83.858405,0.700000,46.372122,
0.900000,1.626325,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,81.906333,0.900000,42.140863,
1.100000,1.354382,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,80.112714,1.100000,37.686476,
1.300000,1.143429,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,78.425601,1.300000,33.241434,
1.500000,0.973784,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,76.717252,1.500000,28.810411,
1.700000,0.840368,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,74.824640,1.700000,24.409762,
1.900000,0.728619,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,72.533120,1.900000,20.014953,
2.100000,0.630171,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,69.644707,2.100000,15.781358,
2.300000,0.539970,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,65.919597,2.300000,11.720657,
2.500000,0.453321,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,60.575984,2.500000,7.922805,
2.700000,0.366217,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,52.236797,2.700000,4.710225,
2.900000,0.275285,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,40.685104,2.900000,1.844605,
3.100000,0.177955,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,27.233612,3.100000,0.223128,
3.300000,0.085178,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,12.926148,3.300000,0.000000,
3.500000,0.021714,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,3.358544,3.500000,0.000000,
3.700000,0.000044,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.009474,3.700000,0.000000,
3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,
